coin_id,name,symbol,current_price,market_cap,volume_24h,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_48h,price_change_percentage_72h,price_change_percentage_7d,price_change_percentage_30d,volatility_proxy,trend_forecast,abs_24h,down_1h,volume_ratio,risk_score,risk_reason
bitcoin,Bitcoin,BTC,118797.0,2365009614998,68710663624,0.039525,-3.964926,,,1.638958,0.591521,1.881136,117983.088282,3.964926,0.0,0.029053,39.8,Large 24h move
ethereum,Ethereum,ETH,4633.46,559416344790,65227301766,0.627389,-2.540903,,,18.747442,47.453547,7.305245,4686.915306,2.540903,0.0,0.116599,59.3,High recent volatility
ripple,XRP,XRP,3.11,184267335853,10788437037,0.241488,-6.657141,,,-5.760294,5.947186,4.219641,3.050399,6.657141,0.0,0.058548,56.2,High recent volatility; Large 24h move
tether,Tether,USDT,1.001,165169147631,154182706492,0.014879,0.063262,,,0.059673,0.085445,0.045938,1.001187,0.063262,0.0,0.933484,28.1,Heavy volume vs mcap
binancecoin,BNB,BNB,843.45,117483561994,3947050951,0.055257,-0.856469,,,7.109889,21.665377,2.673872,847.330135,0.856469,0.0,0.033597,35.9,Stable / normal range
solana,Solana,SOL,193.69,104547697626,13597183048,-0.206966,-5.735777,,,11.069886,17.566504,5.670876,193.286692,5.735777,0.206966,0.130057,69.3,High recent volatility; Large 24h move
usd-coin,USDC,USDC,0.999809,67655979337,16547100673,0.00072,-5.7e-05,,,-0.002395,-0.009724,0.001057,0.999807,5.7e-05,0.0,0.244577,26.3,Stable / normal range
staked-ether,Lido Staked Ether,STETH,4623.04,40912904044,154853277,0.650785,-2.471686,,,18.644717,47.346046,7.255729,4676.61967,2.471686,0.0,0.003785,58.2,High recent volatility
tron,TRON,TRX,0.361779,34254201959,2495508243,0.529006,-0.419376,,,7.139267,20.537641,2.695883,0.363785,0.419376,0.0,0.072853,35.5,Stable / normal range
dogecoin,Dogecoin,DOGE,0.226784,34163785369,5049161257,0.43663,-9.579829,,,2.488323,12.506501,4.16826,0.22273,9.579829,0.0,0.147793,61.3,High recent volatility; Large 24h move
cardano,Cardano,ADA,0.924837,33630521204,6318591714,0.328883,-4.705955,,,16.875597,23.380841,7.303479,0.929744,4.705955,0.0,0.187883,65.1,High recent volatility; Large 24h move
wrapped-steth,Wrapped stETH,WSTETH,5601.7,17886134657,122441611,0.720115,-2.561454,,,18.774031,47.567488,7.351867,5666.217993,2.561454,0.0,0.006846,58.7,High recent volatility
hyperliquid,Hyperliquid,HYPE,48.45,16174105843,562969383,2.931767,1.231515,,,18.660592,0.093025,7.607958,49.388996,1.231515,0.0,0.034807,56.7,High recent volatility
chainlink,Chainlink,LINK,22.46,15232215817,1917000585,0.235744,-6.464887,,,22.432773,38.766778,9.711135,22.608533,6.464887,0.0,0.125852,74.6,High recent volatility; Large 24h move
wrapped-bitcoin,Wrapped Bitcoin,WBTC,118822.0,15104920430,426762152,0.16232,-3.712224,,,1.312693,1.051017,1.729079,118036.082036,3.712224,0.0,0.028253,38.6,Large 24h move
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,4985.83,14781208060,44158480,0.878909,-2.458934,,,18.79887,47.985178,7.378904,5044.439542,2.458934,0.0,0.002987,58.5,High recent volatility
stellar,Stellar,XLM,0.427553,13383500748,764117938,0.28156,-7.853164,,,-4.999194,-6.88997,4.377973,0.418578,7.853164,0.0,0.057094,59.1,High recent volatility; Large 24h move
sui,Sui,SUI,3.79,13332569215,2549450000,0.269323,-7.940289,,,1.18795,-6.922867,3.132521,3.730855,7.940289,0.0,0.19122,54.7,Large 24h move
wrapped-eeth,Wrapped eETH,WEETH,4964.02,12896706688,47620404,0.646895,-2.472432,,,18.662303,47.542766,7.260543,5021.622314,2.472432,0.0,0.003692,58.2,High recent volatility
bitcoin-cash,Bitcoin Cash,BCH,595.14,11849999661,411098060,-0.017372,-4.474074,,,3.2371,18.137187,2.576182,591.282204,4.474074,0.017372,0.034692,45.6,Large 24h move
ethena-usde,Ethena USDe,USDE,1.002,10990631403,464313986,-0.017289,0.133742,,,0.065535,0.090966,0.072189,1.002341,0.133742,0.017289,0.042246,27.0,Stable / normal range
hedera-hashgraph,Hedera,HBAR,0.250987,10646280455,603036459,0.07324,-8.105257,,,-4.564426,7.452848,4.247641,0.245684,8.105257,0.0,0.056643,59.0,High recent volatility; Large 24h move
weth,WETH,WETH,4633.3,10430313600,244074923,0.510311,-2.531327,,,18.709944,47.515749,7.250527,4686.690268,2.531327,0.0,0.023401,58.4,High recent volatility
avalanche-2,Avalanche,AVAX,23.96,10124936999,1184256094,0.045678,-7.304399,,,2.592287,7.271691,3.314121,23.648372,7.304399,0.0,0.116964,53.9,High recent volatility; Large 24h move
litecoin,Litecoin,LTC,122.03,9296934272,1246864304,0.016711,-8.200676,,,-0.673047,25.782862,2.963478,119.854551,8.200676,0.0,0.134116,54.0,Large 24h move
the-open-network,Toncoin,TON,3.43,8797481004,419496807,0.240953,-4.046528,,,2.589382,9.739759,2.292287,3.408846,4.046528,0.0,0.047684,41.8,Large 24h move
leo-token,LEO Token,LEO,9.41,8681206821,4928253,0.573001,1.668984,,,5.096522,5.574224,2.446169,9.486143,1.668984,0.0,0.000568,36.4,Stable / normal range
shiba-inu,Shiba Inu,SHIB,1.3e-05,7652275729,461259783,0.161307,-8.04767,,,0.947647,-5.902436,3.052208,1.3e-05,8.04767,0.0,0.060277,53.6,Large 24h move
usds,USDS,USDS,0.999918,7630144881,31870292,0.012728,0.027504,,,0.041787,0.022014,0.02734,1.000013,0.027504,0.0,0.004177,24.8,Stable / normal range
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,1.001,6795588579,2136261175,0.096481,0.091837,,,-0.136167,0.006675,0.108162,1.00107,0.091837,0.0,0.31436,27.2,Stable / normal range
